treasure itemtypes "Common","Uncommon","Rare","Epic","Legendary","Divine","Unique"
object category "I_WPN_Shortsword_Silent_Step",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Rhythm",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Moondart",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Requiem",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Grace",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Twins_of_Queldoruk_City_of_Hope",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Natha_Ilythiiri_Redeemed_Drow",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Kyorlintar_Watch_the_Blade",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Rilyn_Velvorn_Loyal_Silken_Fang",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Dalninils_Gift_Sisters_Gift",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Ilmryns_Light_Secret_Light",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Phindarshyn_Woven_Dancer",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Longsword_Uncommon"
new subtable "1,1"
object category "I_WPN_Longsword_Starforged_Mercy",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Eclipse",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Redeemers_Grace",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Gleam_in_the_Gloom",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Auroras_Oath",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Solace",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Truthdancer",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Selvetarms_Rejection",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Baequeshel_Blade_Sacred_Music_Blade",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Ultrinnan_Velve_Dance_of_Silk",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Zress_Tlu_Malla_Strength_is_Beauty",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_ZhaunilMalla_Holy_Knowledge",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Duummorlaa_Peaceful_Justice",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Greatsword_Uncommon"
new subtable "1,1"
object category "I_WPN_Greatsword_The_Crescent_Requiem",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Moonfalls_Embrace",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_The_Light_That_Guides",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Darkness_Divided",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Eilistraees_Reach",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Sovereign_of_the_Silver_Dance",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Nightmothers_Wrath",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Zhulumalla_The_Holy_Severance",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Faer_Olothilhar_Magic_of_the_Shadow_Matron",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Ilindith_Vharcana_Glory_of_the_Surface",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Selûnezra_Elgcaress_Selûnes_Moon_Daughter",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Shynttel_Zhaunil_Blade_of_Knowing_Grace",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Elgverin_Kyorlsolenurn_Sacred_Watchers_Wrath",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Dagger_Rare"
new subtable "1,1"
object category "I_WPN_Dagger_Whispering_Note",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Velvet_Silence",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Illythiiris_Grace_Drows_Grace",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Ssussunil_Moonlit_Dagger",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Rapier_Rare"
new subtable "1,1"
object category "I_WPN_Rapier_Twilight_Touche",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Duet_of_the_Blade",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Xunor_Zressa_Perform_the_Dance",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Faerntelquess_Spell_of_the_People",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Scimitar_Rare"
new subtable "1,1"
object category "I_WPN_Scimitar_Crescent_Moon",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Serenade",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Faerzunar_Magic_in_Motion",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Dssinniir_Twilight_Caress",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Shortsword_Rare"
new subtable "1,1"
object category "I_WPN_Shortsword_Echo",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Waltz",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Lolthtarath_Lolths_Bane",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Seldarines_Wrath_Holy_Judgment",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Longsword_Rare"
new subtable "1,1"
object category "I_WPN_Longsword_Moonlit_Vow",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_The_Wandering_Radiance",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Faer_TelBaequi_Spell_of_the_Moon-Song",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Zilnrel_Shinduago_Truth_under_Darkness",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Greatsword_Rare"
new subtable "1,1"
object category "I_WPN_Greatsword_Veilbreaker",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Radiance_Untamed",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Rrinnoroth_of_the_Crescent_Crescent_Blade_of_Justice",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Tlu_Bellae_Eilistraee_To_Be_Beautiful_Is_to_Follow_Eilistraee",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Dagger_VeryRare"
new subtable "1,1"
object category "I_WPN_Dagger_Last_Kiss_of_the_Maiden",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Zhaunils_Whisper_Priestesss_Whisper",1,0,0,0,0,0,0,0
object category "I_WPN_Dagger_Ilharess_Mercy_Matrons_Mercy",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Rapier_VeryRare"
new subtable "1,1"
object category "I_WPN_Rapier_Spellsongs_Edge",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Treitar_Swift_Dance",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Draazilrae_Echo_of_the_Dark_Maiden",1,0,0,0,0,0,0,0
object category "I_WPN_Rapier_Promise_of_the_Promenade",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Scimitar_VeryRare"
new subtable "1,1"
object category "I_WPN_Scimitar_Dance_of_the_Silver_Crescent",1,0,0,0,0,0,0,0
object category "I_WPN_Scimitar_Ssinsra_Dancer_Dance_of_Grace",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Shortsword_VeryRare"
new subtable "1,1"
object category "I_WPN_Shortsword_Darklight_Twin_Left_Eye",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Darklight_Twin_Right_Eye",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Longsword_VeryRare"
new subtable "1,1"
object category "I_WPN_Longsword_Blade_of_the_Last_Dance",1,0,0,0,0,0,0,0
object category "I_WPN_Longsword_Quarvalsharess_Requiem_Goddesss_Requiem",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Greatsword_VeryRare"
new subtable "1,1"
object category "I_WPN_Greatsword_Zress_Dtelquessir_Power_for_All_Peoples",1,0,0,0,0,0,0,0
object category "I_WPN_Greatsword_Vhaer_tlu_Sarn_Truth_Shall_Be_Moonlight",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Dagger_Legendary"
new subtable "1,1"
object category "I_WPN_Dagger_Tear_of_Eilistraee",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Scimitar_Legendary"
new subtable "1,1"
object category "I_WPN_Scimitar_Ultrinnanzil_Moon-Dance_Blade",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Shortsword_Legendary"
new subtable "1,1"
object category "I_WPN_Shortsword_Zresslin_Strengthling",1,0,0,0,0,0,0,0
object category "I_WPN_Shortsword_Veldrineth_Little_Shadow",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Longsword_Legendary"
new subtable "1,1"
object category "I_WPN_Longsword_Eilmystrazar_Blade_of_Light_and_Magic",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_WPN_Greatsword_Legendary"
new subtable "1,1"
object category "I_WPN_Greatsword_Sword_of_the_Promenade",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Robe_Body_Uncommon"
new subtable "1,1"
object category "I_ARM_Robe_Body_Faerkyorl_Magic_Watcher",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Blessed_Raiment",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Dancers_Weave",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Silken_Hauberk",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Ultrinnanshinduago_Dance_of_Truth",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Zhaunshinduago_Knowledge_Truth",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Ssussunkyorl_Moonlit_Watcher",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Zhaunlinth_Knowledge_Harmony",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Eclipsed_Tunic",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Faertel_Coat",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Dancers_Wrap",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Faertel_Mantle",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Ultrinnanilhar_Dance_of_Matron",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Treimalla_Graceful_Beauty",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Olothvharcana_Shadow_Glory",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Blessed_Vest",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Warded_Veil",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Glimmershade_Shell",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Treivharcana_Graceful_Glory",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Ultrinnanmalla_Dance_of_Beauty",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Velvetlar_Silken_Guard",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Veilbound",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Glimmershade_Aegis",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Harmonious_Aegis",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Duskwalkers_Guard",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Robe_Body_Rare"
new subtable "1,1"
object category "I_ARM_Robe_Body_Olothmalla_Shadow_Beauty",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Lunar_Weave",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Ssussuntlar_Moonlit_Guard",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Windswept_Vestments",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Robe_Body_VeryRare"
new subtable "1,1"
object category "I_ARM_Robe_Body_Faerlinth_Magic_Harmony",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Lunar_Guard",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Robe_Body_Legendary"
new subtable "1,1"
object category "I_ARM_Robe_Body_Ultrinnanzar_Dance_of_Blade",1,0,0,0,0,0,0,0
object category "I_ARM_Robe_Body_Whispering_Tunic",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Padded_Body_Uncommon"
new subtable "1,1"
object category "I_ARM_Padded_Body_Zhaunzhaunil_Knowledge_Grace",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Xorlarrinlinth_Darkforge_Harmony",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Faertel_Shell",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Windswept_Skin",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Radiant_Coat",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Veilbound_Coat",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Olothzress_Shadow_Strength",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Faershinduago_Magic_Truth",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Ssussunzhaunil_Moonlit_Grace",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Silken_Mantle",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Whispering_Skin",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Glimmershade_Ward",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Veilbound_Shell",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Padded_Body_Rare"
new subtable "1,1"
object category "I_ARM_Padded_Body_Ilharshinduago_Matrons_Truth",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Quellarzhaunil_Houses_Grace",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Padded_Body_VeryRare"
new subtable "1,1"
object category "I_ARM_Padded_Body_Velvezar_Silken_Blade",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Ilharzress_Matrons_Strength",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Padded_Body_Legendary"
new subtable "1,1"
object category "I_ARM_Padded_Body_Radiant_Carapace",1,0,0,0,0,0,0,0
object category "I_ARM_Padded_Body_Radiant_Weave",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Leather_Body_Uncommon"
new subtable "1,1"
object category "I_ARM_Leather_Body_Faervharcana_Magic_Glory",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Ilhartlar_Matrons_Guard",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Xorlarrinzar_Darkforge_Blade",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Windswept_Hauberk",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Sacred_Embrace",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Shadowkissed_Leathers",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Velvezhaunil_Silken_Grace",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Zhaunmalla_Knowledge_Beauty",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Olothtlar_Shadow_Guard",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Faermalla_Magic_Beauty",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Silken_Garb",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Lunar_Skin",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Windswept_Wrap",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Veilbound_Weave",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Leather_Body_Rare"
new subtable "1,1"
object category "I_ARM_Leather_Body_Xorlarrinzhaunil_Darkforge_Grace",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Duskwalkers_Shroud",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Leather_Body_VeryRare"
new subtable "1,1"
object category "I_ARM_Leather_Body_Lunar_Leathers",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Silvered_Mail",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Leather_Body_Legendary"
new subtable "1,1"
object category "I_ARM_Leather_Body_Treikyorl_Graceful_Watcher",1,0,0,0,0,0,0,0
object category "I_ARM_Leather_Body_Treizar_Graceful_Blade",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_StuddedLeather_Body_Uncommon"
new subtable "1,1"
object category "I_ARM_StuddedLeather_Body_Zhaunzress_Knowledge_Strength",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Zhaunvharcana_Knowledge_Glory",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Lunar_Aegis",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Veilbound_Carapace",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Whispering_Garb",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Ilharilhar_Matrons_Matron",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Xorlarrinkyorl_Darkforge_Watcher",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Zhaunkyorl_Knowledge_Watcher",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Radiant_Ward",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Dancers_Embrace",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Veilbound_Guard",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Whispering_Shroud",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_StuddedLeather_Body_Rare"
new subtable "1,1"
object category "I_ARM_StuddedLeather_Body_Dancers_Leathers",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Faertel_Mail",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_StuddedLeather_Body_VeryRare"
new subtable "1,1"
object category "I_ARM_StuddedLeather_Body_Xorlarrinshinduago_Darkforge_Truth",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Ilharvharcana_Matrons_Glory",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_StuddedLeather_Body_Legendary"
new subtable "1,1"
object category "I_ARM_StuddedLeather_Body_Sacred_Weave",1,0,0,0,0,0,0,0
object category "I_ARM_StuddedLeather_Body_Ssussunilhar_Moonlit_Matron",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_ElvenChain_Rare"
new subtable "1,1"
object category "I_ARM_ElvenChain_Xorlarrinzress_Darkforge_Strength",1,0,0,0,0,0,0,0
object category "I_ARM_ElvenChain_Olothkyorl_Shadow_Watcher",1,0,0,0,0,0,0,0
object category "I_ARM_ElvenChain_Shadowkissed_Carapace",1,0,0,0,0,0,0,0
object category "I_ARM_ElvenChain_Eclipsed_Mantle",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_ElvenChain_VeryRare"
new subtable "1,1"
object category "I_ARM_ElvenChain_Twilight_Weave",1,0,0,0,0,0,0,0
object category "I_ARM_ElvenChain_Olothshinduago_Shadow_Truth",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_ElvenChain_Legendary"
new subtable "1,1"
object category "I_ARM_ElvenChain_Ssussunlinth_Moonlit_Harmony",1,0,0,0,0,0,0,0
object category "I_ARM_ElvenChain_Twilight_Mail",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Monk_Uncommon"
new subtable "1,1"
object category "I_ARM_Monk_Moonwoven_Grips",1,0,0,0,0,0,0,0
object category "I_ARM_Monk_Twilight_Fingers",1,0,0,0,0,0,0,0
object category "I_ARM_Monk_Zhauntlar_Knowledge_Guard",1,0,0,0,0,0,0,0
object category "I_ARM_Monk_Quellarmysstra_“Houses_Magic_Song”",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Monk_Rare"
new subtable "1,1"
object category "I_ARM_Monk_Whispering_Handwraps",1,0,0,0,0,0,0,0
object category "I_ARM_Monk_Ultrinnanlinth_Dance_of_Harmony",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Monk_VeryRare"
new subtable "1,1"
object category "I_ARM_Monk_Sacred_Wraps",1,0,0,0,0,0,0,0
object category "I_ARM_Monk_Ssussunvharcana_Moonlit_Glory",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Monk_Legendary"
new subtable "1,1"
object category "I_ARM_Monk_Velvet_Touch",1,0,0,0,0,0,0,0
object category "I_ARM_Monk_Faertel_Gloves_Magic_Song_Gloves",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Gloves_Leather_Uncommon"
new subtable "1,1"
object category "I_ARM_Gloves_Leather_Shadowbound_Grips",1,0,0,0,0,0,0,0
object category "I_ARM_Gloves_Leather_Duskwalkers_Fingers",1,0,0,0,0,0,0,0
object category "I_ARM_Gloves_Leather_Treitlar_Graceful_Guard",1,0,0,0,0,0,0,0
object category "I_ARM_Gloves_Leather_Ilindithtlar_“Surface_Guard",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Gloves_Leather_Rare"
new subtable "1,1"
object category "I_ARM_Gloves_Leather_Velvet_Fang_Gloves",1,0,0,0,0,0,0,0
object category "I_ARM_Gloves_Leather_Ultrinnanmalla_Dance_of_Beauty",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Gloves_Leather_VeryRare"
new subtable "1,1"
object category "I_ARM_Gloves_Leather_Moonlit_Claws",1,0,0,0,0,0,0,0
object category "I_ARM_Gloves_Leather_Olothzar_Shadow_Blade",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Gloves_Leather_Legendary"
new subtable "1,1"
object category "I_ARM_Gloves_Leather_Silent_Hunter_Wraps",1,0,0,0,0,0,0,0
object category "I_ARM_Gloves_Leather_Faerzar_Magic_Blade",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Circlet_Uncommon"
new subtable "1,1"
object category "I_ARM_Circlet_Radiant_Diadem",1,0,0,0,0,0,0,0
object category "I_ARM_Circlet_Faerzara_Magic_Blade",1,0,0,0,0,0,0,0
object category "I_ARM_Circlet_Faerdor_Magic_Path",1,0,0,0,0,0,0,0
object category "I_ARM_Circlet_Ssussunmorath_Moonlit_Path",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Circlet_Rare"
new subtable "1,1"
object category "I_ARM_Circlet_Twilight_Band",1,0,0,0,0,0,0,0
object category "I_ARM_Circlet_Olothzara_Shadow_Blade",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Circlet_VeryRare"
new subtable "1,1"
object category "I_ARM_Circlet_Velvet_Crown",1,0,0,0,0,0,0,0
object category "I_ARM_Circlet_Ssussunmalla_Moonlit_Beauty",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Circlet_Legendary"
new subtable "1,1"
object category "I_ARM_Circlet_Moonwoven_Circlet",1,0,0,0,0,0,0,0
object category "I_ARM_Circlet_Olothtel_Shadow_Song",1,0,0,0,0,0,0,0
new treasuretable "Eilistraean_ARM_Boots_Leather_Uncommon"
